GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,County,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0400000US06,6,California,0500000US06047,6047,California - Merced County,Merced County,134560,68373,1971.87,43.18,1928.69,109.2,35.5
0400000US06,6,California,0500000US06049,6049,California - Modoc County,Modoc County,8610,4807,4203.37,259.28,3944.1,2.4,1.2
0400000US06,6,California,0500000US06051,6051,California - Mono County,Mono County,8577,11757,3131.8,87.4,3044.4,4.2,3.9
0400000US06,6,California,0500000US06053,6053,California - Monterey County,Monterey County,290444,131708,3771.07,449.12,3321.95,120.9,39.6
0400000US06,6,California,0500000US06055,6055,California - Napa County,Napa County,99199,48554,788.27,34.53,753.73,164.9,64.4
0400000US06,6,California,0500000US06057,6057,California - Nevada County,Nevada County,51645,44282,974.49,16.88,957.61,96.1,46.2
0400000US06,6,California,0500000US06059,6059,California - Orange County,Orange County,1932709,969484,947.98,158.57,789.4,3605.6,1228.1
0400000US06,6,California,0500000US06061,6061,California - Placer County,Placer County,117247,107302,1502.78,98.41,1404.37,176.9,76.4
0400000US06,6,California,0500000US06063,6063,California - Plumas County,Plumas County,17340,13386,2613.48,59.78,2553.69,8.2,5.2
0400000US06,6,California,0500000US06065,6065,California - Riverside County,Riverside County,663166,584674,7303.13,95.76,7207.37,214.4,81.1
0400000US06,6,California,0500000US06067,6067,California - Sacramento County,Sacramento County,783381,474814,995.48,29.83,965.65,1267,491.7
0400000US06,6,California,0500000US06069,6069,California - San Benito County,San Benito County,25005,16499,1390.73,1.68,1389.06,38.3,11.9
0400000US06,6,California,0500000US06071,6071,California - San Bernardino County,San Bernardino County,895016,601369,20105.32,52.82,20052.5,85.2,30
0400000US06,6,California,0500000US06073,6073,California - San Diego County,San Diego County,1861846,1040149,4525.52,325.62,4199.89,670,247.7
0400000US06,6,California,0500000US06075,6075,California - San Francisco County,San Francisco County,678974,346527,231.92,185.22,46.69,16634.4,7421.2
0400000US06,6,California,0500000US06077,6077,California - San Joaquin County,San Joaquin County,347342,189160,1426.25,26.97,1399.28,402.8,135.2
0400000US06,6,California,0500000US06079,6079,California - San Luis Obispo County,San Luis Obispo County,155435,102275,3615.54,311.22,3304.32,74.7,31
0400000US06,6,California,0500000US06081,6081,California - San Mateo County,San Mateo County,587329,260576,741.01,291.95,449.07,1574.7,580.3
0400000US06,6,California,0500000US06083,6083,California - Santa Barbara County,Santa Barbara County,298694,142901,3789.08,1052.07,2737.01,145.9,52.2
0400000US06,6,California,0500000US06085,6085,California - Santa Clara County,Santa Clara County,1295071,579329,1304.01,13.32,1290.69,1303.6,448.9
0400000US06,6,California,0500000US06087,6087,California - Santa Cruz County,Santa Cruz County,188141,98873,607.16,161.92,445.24,574.1,222.1
0400000US06,6,California,0500000US06089,6089,California - Shasta County,Shasta County,115715,68810,3847.44,62.24,3785.19,43.1,18.2
0400000US06,6,California,0500000US06091,6091,California - Sierra County,Sierra County,3073,2202,961.97,8.59,953.38,3.7,2.3
0400000US06,6,California,0500000US06093,6093,California - Siskiyou County,Siskiyou County,39732,21947,6347.46,60.68,6286.78,7,3.5
0400000US06,6,California,0500000US06095,6095,California - Solano County,Solano County,235203,134513,906.67,77.48,829.19,475.8,162.2
0400000US06,6,California,0500000US06097,6097,California - Sonoma County,Sonoma County,299681,183153,1768.23,192.35,1575.88,291,116.2
0400000US06,6,California,0500000US06099,6099,California - Stanislaus County,Stanislaus County,265900,150807,1514.67,20.88,1493.79,299.2,101
0400000US06,6,California,0500000US06101,6101,California - Sutter County,Sutter County,52246,28319,608.58,6.04,602.54,131,47
0400000US06,6,California,0500000US06103,6103,California - Tehama County,Tehama County,38888,23547,2962.27,11.28,2950.99,19,8
0400000US06,6,California,0500000US06105,6105,California - Trinity County,Trinity County,11858,7980,3207.54,28.93,3178.61,4.1,2.5
0400000US06,6,California,0500000US06107,6107,California - Tulare County,Tulare County,245738,119639,4839.09,15.12,4823.97,76.3,24.8
0400000US06,6,California,0500000US06109,6109,California - Tuolumne County,Tuolumne County,33928,28336,2274.34,38.93,2235.41,24.4,12.7
0400000US06,6,California,0500000US06111,6111,California - Ventura County,Ventura County,529174,251712,2208.2,362.9,1845.3,408.2,136.4
0400000US06,6,California,0500000US06113,6113,California - Yolo County,Yolo County,113374,61587,1022.89,9.62,1013.27,166.5,60.8
0400000US06,6,California,0500000US06115,6115,California - Yuba County,Yuba County,49733,22636,643.73,13.04,630.69,95.5,35.9
